CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;06:00 - 06:30;6;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;07:00 - 07:30;3;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;07:30 - 08:00;9;49
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;08:00 - 08:30;9;29
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;08:30 - 09:00;0;27
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;09:00 - 09:30;9;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;09:30 - 10:00;8;18
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;10:00 - 10:30;6;16
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;10:30 - 11:00;0;13
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;11:00 - 11:30;10;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;11:30 - 12:00;0;29
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;12:00 - 12:30;27;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;12:30 - 13:00;0;15
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;13:00 - 13:30;47;3
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;14:00 - 14:30;23;6
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;14:30 - 15:00;70;13
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;15:00 - 15:30;12;10
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;15:30 - 16:00;8;8
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;16:00 - 16:30;15;6
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;16:30 - 17:00;0;50
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;17:00 - 17:30;15;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;17:30 - 18:00;0;9
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;18:00 - 18:30;33;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;18:30 - 19:00;0;5
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;19:00 - 19:30;14;12
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;19:30 - 20:00;6;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;20:00 - 20:30;11;9
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;20:30 - 21:00;0;3
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;21:00 - 21:30;0;2
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;21:30 - 22:00;16;0
5951;CARTAGENA-PLAZA BASTARRECHE;MURCIA AM;22:30 - 23:00;0;0
5952;HOSPITAL;MURCIA AM;06:00 - 06:30;0;0
5952;HOSPITAL;MURCIA AM;07:00 - 07:30;0;0
5952;HOSPITAL;MURCIA AM;07:30 - 08:00;0;7
5952;HOSPITAL;MURCIA AM;08:00 - 08:30;1;7
5952;HOSPITAL;MURCIA AM;08:30 - 09:00;0;3
